"year","state","month","number","date"
2012,"Bahia","Dezembro",477,2012-01-01
2013,"Bahia","Dezembro",131,2013-01-01
2014,"Bahia","Dezembro",144,2014-01-01
2015,"Bahia","Dezembro",1.408,2015-01-01
2016,"Bahia","Dezembro",164,2016-01-01
1998,"Ceara","Janeiro",0,1998-01-01
1999,"Ceara","Janeiro",47,1999-01-01
2000,"Ceara","Janeiro",1,2000-01-01
2001,"Ceara","Janeiro",11,2001-01-01
2002,"Ceara","Janeiro",33,2002-01-01
2003,"Ceara","Janeiro",264,2003-01-01
2004,"Ceara","Janeiro",143,2004-01-01
2005,"Ceara","Janeiro",384,2005-01-01
2006,"Ceara","Janeiro",211,2006-01-01
2007,"Ceara","Janeiro",304,2007-01-01
2008,"Ceara","Janeiro",166,2008-01-01
2009,"Ceara","Janeiro",347,2009-01-01
2010,"Ceara","Janeiro",288,2010-01-01
2011,"Ceara","Janeiro",32,2011-01-01
2012,"Ceara","Janeiro",273,2012-01-01
2013,"Ceara","Janeiro",103,2013-01-01
2014,"Ceara","Janeiro",115,2014-01-01
2015,"Ceara","Janeiro",207,2015-01-01
2016,"Ceara","Janeiro",100,2016-01-01
2017,"Ceara","Janeiro",91,2017-01-01
1998,"Ceara","Fevereiro",0,1998-01-01
1999,"Ceara","Fevereiro",16,1999-01-01
2000,"Ceara","Fevereiro",6,2000-01-01
2001,"Ceara","Fevereiro",0,2001-01-01
2002,"Ceara","Fevereiro",75,2002-01-01
2003,"Ceara","Fevereiro",9,2003-01-01
2004,"Ceara","Fevereiro",5,2004-01-01
2005,"Ceara","Fevereiro",25,2005-01-01
2006,"Ceara","Fevereiro",23,2006-01-01
2007,"Ceara","Fevereiro",3,2007-01-01
2008,"Ceara","Fevereiro",12,2008-01-01
2009,"Ceara","Fevereiro",8,2009-01-01
2010,"Ceara","Fevereiro",63,2010-01-01
2011,"Ceara","Fevereiro",2,2011-01-01
2012,"Ceara","Fevereiro",41,2012-01-01
2013,"Ceara","Fevereiro",49,2013-01-01
2014,"Ceara","Fevereiro",18,2014-01-01
2015,"Ceara","Fevereiro",25,2015-01-01
2016,"Ceara","Fevereiro",13,2016-01-01
2017,"Ceara","Fevereiro",9,2017-01-01
1998,"Ceara","Mar�o",0,1998-01-01
1999,"Ceara","Mar�o",30,1999-01-01
2000,"Ceara","Mar�o",9,2000-01-01
2001,"Ceara","Mar�o",0,2001-01-01
2002,"Ceara","Mar�o",17,2002-01-01
2003,"Ceara","Mar�o",3,2003-01-01
2004,"Ceara","Mar�o",1,2004-01-01
2005,"Ceara","Mar�o",5,2005-01-01
2006,"Ceara","Mar�o",3,2006-01-01
2007,"Ceara","Mar�o",2,2007-01-01
2008,"Ceara","Mar�o",2,2008-01-01
2009,"Ceara","Mar�o",3,2009-01-01
2010,"Ceara","Mar�o",40,2010-01-01
2011,"Ceara","Mar�o",6,2011-01-01
2012,"Ceara","Mar�o",10,2012-01-01
2013,"Ceara","Mar�o",17,2013-01-01
2014,"Ceara","Mar�o",6,2014-01-01
2015,"Ceara","Mar�o",20,2015-01-01
2016,"Ceara","Mar�o",4,2016-01-01
2017,"Ceara","Mar�o",4,2017-01-01
1998,"Ceara","Abril",0,1998-01-01
1999,"Ceara","Abril",6,1999-01-01
2000,"Ceara","Abril",15,2000-01-01
2001,"Ceara","Abril",2,2001-01-01
2002,"Ceara","Abril",5,2002-01-01
2003,"Ceara","Abril",3,2003-01-01
2004,"Ceara","Abril",2,2004-01-01
2005,"Ceara","Abril",4,2005-01-01
2006,"Ceara","Abril",1,2006-01-01
2007,"Ceara","Abril",1,2007-01-01
2008,"Ceara","Abril",0,2008-01-01
2009,"Ceara","Abril",0,2009-01-01
2010,"Ceara","Abril",7,2010-01-01
2011,"Ceara","Abril",1,2011-01-01
2012,"Ceara","Abril",2,2012-01-01
2013,"Ceara","Abril",4,2013-01-01
2014,"Ceara","Abril",4,2014-01-01
2015,"Ceara","Abril",3,2015-01-01
2016,"Ceara","Abril",10,2016-01-01
2017,"Ceara","Abril",6,2017-01-01
1998,"Ceara","Maio",0,1998-01-01
1999,"Ceara","Maio",5,1999-01-01
2000,"Ceara","Maio",7,2000-01-01
2001,"Ceara","Maio",81,2001-01-01
2002,"Ceara","Maio",10,2002-01-01
2003,"Ceara","Maio",0,2003-01-01
2004,"Ceara","Maio",3,2004-01-01
2005,"Ceara","Maio",1,2005-01-01
2006,"Ceara","Maio",0,2006-01-01
2007,"Ceara","Maio",0,2007-01-01
2008,"Ceara","Maio",0,2008-01-01
2009,"Ceara","Maio",0,2009-01-01
2010,"Ceara","Maio",2,2010-01-01
2011,"Ceara","Maio",0,2011-01-01
2012,"Ceara","Maio",19,2012-01-01
2013,"Ceara","Maio",4,2013-01-01
2014,"Ceara","Maio",4,2014-01-01
2015,"Ceara","Maio",17,2015-01-01
2016,"Ceara","Maio",8,2016-01-01
2017,"Ceara","Maio",9,2017-01-01
1998,"Ceara","Junho",1,1998-01-01
1999,"Ceara","Junho",16,1999-01-01
2000,"Ceara","Junho",16,2000-01-01
2001,"Ceara","Junho",38,2001-01-01
2002,"Ceara","Junho",13,2002-01-01
2003,"Ceara","Junho",2,2003-01-01
2004,"Ceara","Junho",1,2004-01-01
2005,"Ceara","Junho",6,2005-01-01
2006,"Ceara","Junho",0,2006-01-01
2007,"Ceara","Junho",1,2007-01-01
2008,"Ceara","Junho",1,2008-01-01
2009,"Ceara","Junho",0,2009-01-01
2010,"Ceara","Junho",3,2010-01-01
2011,"Ceara","Junho",5,2011-01-01
2012,"Ceara","Junho",28,2012-01-01
2013,"Ceara","Junho",5,2013-01-01
2014,"Ceara","Junho",19,2014-01-01
2015,"Ceara","Junho",22,2015-01-01
2016,"Ceara","Junho",45,2016-01-01
2017,"Ceara","Junho",23,2017-01-01
1998,"Ceara","Julho",76,1998-01-01
1999,"Ceara","Julho",83,1999-01-01
2000,"Ceara","Julho",18,2000-01-01
2001,"Ceara","Julho",146,2001-01-01
2002,"Ceara","Julho",12,2002-01-01
2003,"Ceara","Julho",14,2003-01-01
2004,"Ceara","Julho",16,2004-01-01
2005,"Ceara","Julho",14,2005-01-01
2006,"Ceara","Julho",1,2006-01-01
2007,"Ceara","Julho",11,2007-01-01
2008,"Ceara","Julho",3,2008-01-01
2009,"Ceara","Julho",7,2009-01-01
2010,"Ceara","Julho",44,2010-01-01
2011,"Ceara","Julho",18,2011-01-01
2012,"Ceara","Julho",50,2012-01-01
2013,"Ceara","Julho",4,2013-01-01
2014,"Ceara","Julho",47,2014-01-01
2015,"Ceara","Julho",25,2015-01-01
2016,"Ceara","Julho",124,2016-01-01
2017,"Ceara","Julho",26,2017-01-01
1998,"Ceara","Agosto",93,1998-01-01
1999,"Ceara","Agosto",131,1999-01-01
2000,"Ceara","Agosto",79,2000-01-01
2001,"Ceara","Agosto",219,2001-01-01
2002,"Ceara","Agosto",111,2002-01-01
2003,"Ceara","Agosto",109,2003-01-01
2004,"Ceara","Agosto",61,2004-01-01
2005,"Ceara","Agosto",51,2005-01-01
2006,"Ceara","Agosto",50,2006-01-01
2007,"Ceara","Agosto",182,2007-01-01
2008,"Ceara","Agosto",32,2008-01-01
2009,"Ceara","Agosto",26,2009-01-01
2010,"Ceara","Agosto",202,2010-01-01
2011,"Ceara","Agosto",53,2011-01-01
2012,"Ceara","Agosto",278,2012-01-01
2013,"Ceara","Agosto",32,2013-01-01
2014,"Ceara","Agosto",155,2014-01-01
2015,"Ceara","Agosto",127,2015-01-01
2016,"Ceara","Agosto",293,2016-01-01
2017,"Ceara","Agosto",121,2017-01-01
1998,"Ceara","Setembro",590,1998-01-01
1999,"Ceara","Setembro",124,1999-01-01
2000,"Ceara","Setembro",127,2000-01-01
2001,"Ceara","Setembro",801,2001-01-01
2002,"Ceara","Setembro",172,2002-01-01
2003,"Ceara","Setembro",384,2003-01-01
2004,"Ceara","Setembro",144,2004-01-01
2005,"Ceara","Setembro",185,2005-01-01
2006,"Ceara","Setembro",237,2006-01-01
2007,"Ceara","Setembro",241,2007-01-01
2008,"Ceara","Setembro",177,2008-01-01
2009,"Ceara","Setembro",101,2009-01-01
2010,"Ceara","Setembro",357,2010-01-01
2011,"Ceara","Setembro",239,2011-01-01
2012,"Ceara","Setembro",609,2012-01-01
2013,"Ceara","Setembro",177,2013-01-01
2014,"Ceara","Setembro",155,2014-01-01
2015,"Ceara","Setembro",214,2015-01-01
2016,"Ceara","Setembro",370,2016-01-01
2017,"Ceara","Setembro",505,2017-01-01
1998,"Ceara","Outubro",1.014,1998-01-01
1999,"Ceara","Outubro",309,1999-01-01
2000,"Ceara","Outubro",875,2000-01-01
2001,"Ceara","Outubro",2.045,2001-01-01
2002,"Ceara","Outubro",1.606,2002-01-01
2003,"Ceara","Outubro",1.761,2003-01-01
2004,"Ceara","Outubro",1.217,2004-01-01
2005,"Ceara","Outubro",1.378,2005-01-01
2006,"Ceara","Outubro",581,2006-01-01
2007,"Ceara","Outubro",964,2007-01-01
2008,"Ceara","Outubro",816,2008-01-01
2009,"Ceara","Outubro",435,2009-01-01
2010,"Ceara","Outubro",502,2010-01-01
2011,"Ceara","Outubro",415,2011-01-01
2012,"Ceara","Outubro",1.104,2012-01-01
2013,"Ceara","Outubro",466,2013-01-01
2014,"Ceara","Outubro",517,2014-01-01
2015,"Ceara","Outubro",658,2015-01-01
2016,"Ceara","Outubro",1.31,2016-01-01
2017,"Ceara","Outubro",949,2017-01-01
1998,"Ceara","Novembro",575,1998-01-01
1999,"Ceara","Novembro",524,1999-01-01
2000,"Ceara","Novembro",669,2000-01-01
2001,"Ceara","Novembro",2.456,2001-01-01
2002,"Ceara","Novembro",2.715,2002-01-01
2003,"Ceara","Novembro",3.327,2003-01-01
2004,"Ceara","Novembro",2.9,2004-01-01
2005,"Ceara","Novembro",2.483,2005-01-01
2006,"Ceara","Novembro",1.012,2006-01-01
2007,"Ceara","Novembro",1.443,2007-01-01
2008,"Ceara","Novembro",1.753,2008-01-01
2009,"Ceara","Novembro",1.653,2009-01-01
2010,"Ceara","Novembro",1.652,2010-01-01
2011,"Ceara","Novembro",1.561,2011-01-01
2012,"Ceara","Novembro",995,2012-01-01
2013,"Ceara","Novembro",1.081,2013-01-01
2014,"Ceara","Novembro",829,2014-01-01
2015,"Ceara","Novembro",1.081,2015-01-01
2016,"Ceara","Novembro",1.328,2016-01-01
2017,"Ceara","Novembro",812,2017-01-01
1998,"Ceara","Dezembro",276,1998-01-01
1999,"Ceara","Dezembro",397,1999-01-01
2000,"Ceara","Dezembro",389,2000-01-01
2001,"Ceara","Dezembro",545,2001-01-01
2002,"Ceara","Dezembro",1.787,2002-01-01
2003,"Ceara","Dezembro",2.436,2003-01-01
2004,"Ceara","Dezembro",3.158,2004-01-01
2005,"Ceara","Dezembro",1.36,2005-01-01
2006,"Ceara","Dezembro",1.161,2006-01-01
2007,"Ceara","Dezembro",1.177,2007-01-01
2008,"Ceara","Dezembro",1.655,2008-01-01
2009,"Ceara","Dezembro",1.987,2009-01-01
2010,"Ceara","Dezembro",578,2010-01-01
2011,"Ceara","Dezembro",1.441,2011-01-01
2012,"Ceara","Dezembro",631,2012-01-01
2013,"Ceara","Dezembro",956,2013-01-01
2014,"Ceara","Dezembro",643,2014-01-01
2015,"Ceara","Dezembro",1.021,2015-01-01
2016,"Ceara","Dezembro",819,2016-01-01
1998,"Distrito Federal","Janeiro",0,1998-01-01
1999,"Distrito Federal","Janeiro",0,1999-01-01
2000,"Distrito Federal","Janeiro",0,2000-01-01
2001,"Distrito Federal","Janeiro",0,2001-01-01
2002,"Distrito Federal","Janeiro",0,2002-01-01
2003,"Distrito Federal","Janeiro",0,2003-01-01
2004,"Distrito Federal","Janeiro",0,2004-01-01
2005,"Distrito Federal","Janeiro",0,2005-01-01
2006,"Distrito Federal","Janeiro",0,2006-01-01
2007,"Distrito Federal","Janeiro",0,2007-01-01
2008,"Distrito Federal","Janeiro",0,2008-01-01
2009,"Distrito Federal","Janeiro",1,2009-01-01
2010,"Distrito Federal","Janeiro",2,2010-01-01
2011,"Distrito Federal","Janeiro",2,2011-01-01
2012,"Distrito Federal","Janeiro",0,2012-01-01
2013,"Distrito Federal","Janeiro",0,2013-01-01
2014,"Distrito Federal","Janeiro",0,2014-01-01
2015,"Distrito Federal","Janeiro",1,2015-01-01
2016,"Distrito Federal","Janeiro",1,2016-01-01
2017,"Distrito Federal","Janeiro",1,2017-01-01
1998,"Distrito Federal","Fevereiro",0,1998-01-01
1999,"Distrito Federal","Fevereiro",2,1999-01-01
2000,"Distrito Federal","Fevereiro",0,2000-01-01
2001,"Distrito Federal","Fevereiro",1,2001-01-01
2002,"Distrito Federal","Fevereiro",0,2002-01-01
2003,"Distrito Federal","Fevereiro",1,2003-01-01
2004,"Distrito Federal","Fevereiro",0,2004-01-01
2005,"Distrito Federal","Fevereiro",0,2005-01-01
2006,"Distrito Federal","Fevereiro",0,2006-01-01
2007,"Distrito Federal","Fevereiro",0,2007-01-01
2008,"Distrito Federal","Fevereiro",0,2008-01-01
2009,"Distrito Federal","Fevereiro",0,2009-01-01
2010,"Distrito Federal","Fevereiro",4,2010-01-01
2011,"Distrito Federal","Fevereiro",1,2011-01-01
2012,"Distrito Federal","Fevereiro",0,2012-01-01
2013,"Distrito Federal","Fevereiro",1,2013-01-01
2014,"Distrito Federal","Fevereiro",1,2014-01-01
2015,"Distrito Federal","Fevereiro",0,2015-01-01
2016,"Distrito Federal","Fevereiro",2,2016-01-01
2017,"Distrito Federal","Fevereiro",0,2017-01-01
1998,"Distrito Federal","Mar�o",0,1998-01-01
1999,"Distrito Federal","Mar�o",0,1999-01-01
2000,"Distrito Federal","Mar�o",0,2000-01-01
2001,"Distrito Federal","Mar�o",0,2001-01-01
2002,"Distrito Federal","Mar�o",0,2002-01-01
2003,"Distrito Federal","Mar�o",0,2003-01-01
2004,"Distrito Federal","Mar�o",0,2004-01-01
2005,"Distrito Federal","Mar�o",0,2005-01-01
2006,"Distrito Federal","Mar�o",0,2006-01-01
2007,"Distrito Federal","Mar�o",1,2007-01-01
2008,"Distrito Federal","Mar�o",2,2008-01-01
2009,"Distrito Federal","Mar�o",0,2009-01-01
2010,"Distrito Federal","Mar�o",0,2010-01-01
2011,"Distrito Federal","Mar�o",0,2011-01-01
2012,"Distrito Federal","Mar�o",0,2012-01-01
2013,"Distrito Federal","Mar�o",1,2013-01-01
2014,"Distrito Federal","Mar�o",1,2014-01-01
2015,"Distrito Federal","Mar�o",0,2015-01-01
2016,"Distrito Federal","Mar�o",1,2016-01-01
2017,"Distrito Federal","Mar�o",0,2017-01-01
1998,"Distrito Federal","Abril",0,1998-01-01
1999,"Distrito Federal","Abril",0,1999-01-01
2000,"Distrito Federal","Abril",0,2000-01-01
2001,"Distrito Federal","Abril",0,2001-01-01
2002,"Distrito Federal","Abril",1,2002-01-01
2003,"Distrito Federal","Abril",0,2003-01-01
2004,"Distrito Federal","Abril",1,2004-01-01
2005,"Distrito Federal","Abril",0,2005-01-01
2006,"Distrito Federal","Abril",0,2006-01-01
2007,"Distrito Federal","Abril",0,2007-01-01
2008,"Distrito Federal","Abril",1,2008-01-01
2009,"Distrito Federal","Abril",0,2009-01-01
2010,"Distrito Federal","Abril",8,2010-01-01
2011,"Distrito Federal","Abril",1,2011-01-01
2012,"Distrito Federal","Abril",4,2012-01-01
2013,"Distrito Federal","Abril",1,2013-01-01
2014,"Distrito Federal","Abril",2,2014-01-01
2015,"Distrito Federal","Abril",0,2015-01-01
2016,"Distrito Federal","Abril",5,2016-01-01
2017,"Distrito Federal","Abril",1,2017-01-01
1998,"Distrito Federal","Maio",0,1998-01-01
1999,"Distrito Federal","Maio",0,1999-01-01
2000,"Distrito Federal","Maio",2,2000-01-01
2001,"Distrito Federal","Maio",0,2001-01-01
2002,"Distrito Federal","Maio",1,2002-01-01
2003,"Distrito Federal","Maio",0,2003-01-01
2004,"Distrito Federal","Maio",9,2004-01-01
2005,"Distrito Federal","Maio",2,2005-01-01
2006,"Distrito Federal","Maio",3,2006-01-01
2007,"Distrito Federal","Maio",4,2007-01-01
2008,"Distrito Federal","Maio",6,2008-01-01
2009,"Distrito Federal","Maio",9,2009-01-01
2010,"Distrito Federal","Maio",23,2010-01-01
2011,"Distrito Federal","Maio",3,2011-01-01
2012,"Distrito Federal","Maio",0,2012-01-01
2013,"Distrito Federal","Maio",2,2013-01-01
2014,"Distrito Federal","Maio",9,2014-01-01
2015,"Distrito Federal","Maio",2,2015-01-01
2016,"Distrito Federal","Maio",15,2016-01-01
2017,"Distrito Federal","Maio",6,2017-01-01
1998,"Distrito Federal","Junho",2,1998-01-01
1999,"Distrito Federal","Junho",3,1999-01-01
2000,"Distrito Federal","Junho",1,2000-01-01
2001,"Distrito Federal","Junho",3,2001-01-01
2002,"Distrito Federal","Junho",7,2002-01-01
2003,"Distrito Federal","Junho",11,2003-01-01
2004,"Distrito Federal","Junho",6,2004-01-01
2005,"Distrito Federal","Junho",3,2005-01-01
2006,"Distrito Federal","Junho",2,2006-01-01
2007,"Distrito Federal","Junho",21,2007-01-01
2008,"Distrito Federal","Junho",0,2008-01-01
2009,"Distrito Federal","Junho",4,2009-01-01
2010,"Distrito Federal","Junho",21,2010-01-01
2011,"Distrito Federal","Junho",18,2011-01-01
2012,"Distrito Federal","Junho",6,2012-01-01
2013,"Distrito Federal","Junho",4,2013-01-01
2014,"Distrito Federal","Junho",6,2014-01-01
2015,"Distrito Federal","Junho",1,2015-01-01
2016,"Distrito Federal","Junho",42,2016-01-01
2017,"Distrito Federal","Junho",23,2017-01-01
1998,"Distrito Federal","Julho",17,1998-01-01
1999,"Distrito Federal","Julho",4,1999-01-01
2000,"Distrito Federal","Julho",15,2000-01-01
2001,"Distrito Federal","Julho",22,2001-01-01
2002,"Distrito Federal","Julho",33,2002-01-01
2003,"Distrito Federal","Julho",19,2003-01-01
2004,"Distrito Federal","Julho",37,2004-01-01
2005,"Distrito Federal","Julho",24,2005-01-01
2006,"Distrito Federal","Julho",10,2006-01-01
2007,"Distrito Federal","Julho",25,2007-01-01
2008,"Distrito Federal","Julho",12,2008-01-01
2009,"Distrito Federal","Julho",33,2009-01-01
2010,"Distrito Federal","Julho",85,2010-01-01
2011,"Distrito Federal","Julho",53,2011-01-01
2012,"Distrito Federal","Julho",29,2012-01-01
2013,"Distrito Federal","Julho",22,2013-01-01
2014,"Distrito Federal","Julho",27,2014-01-01
2015,"Distrito Federal","Julho",15,2015-01-01
2016,"Distrito Federal","Julho",79,2016-01-01
2017,"Distrito Federal","Julho",44,2017-01-01
1998,"Distrito Federal","Agosto",48,1998-01-01
1999,"Distrito Federal","Agosto",16,1999-01-01
2000,"Distrito Federal","Agosto",9,2000-01-01
2001,"Distrito Federal","Agosto",25,2001-01-01
2002,"Distrito Federal","Agosto",53,2002-01-01
2003,"Distrito Federal","Agosto",36,2003-01-01
2004,"Distrito Federal","Agosto",108,2004-01-01
2005,"Distrito Federal","Agosto",20,2005-01-01
2006,"Distrito Federal","Agosto",40,2006-01-01
2007,"Distrito Federal","Agosto",137,2007-01-01
2008,"Distrito Federal","Agosto",30,2008-01-01
2009,"Distrito Federal","Agosto",37,2009-01-01
2010,"Distrito Federal","Agosto",159,2010-01-01
2011,"Distrito Federal","Agosto",61,2011-01-01
2012,"Distrito Federal","Agosto",55,2012-01-01
2013,"Distrito Federal","Agosto",34,2013-01-01
2014,"Distrito Federal","Agosto",99,2014-01-01
2015,"Distrito Federal","Agosto",53,2015-01-01
2016,"Distrito Federal","Agosto",29,2016-01-01
2017,"Distrito Federal","Agosto",147,2017-01-01
1998,"Distrito Federal","Setembro",33,1998-01-01
1999,"Distrito Federal","Setembro",12,1999-01-01
2000,"Distrito Federal","Setembro",3,2000-01-01
2001,"Distrito Federal","Setembro",12,2001-01-01
2002,"Distrito Federal","Setembro",33,2002-01-01
2003,"Distrito Federal","Setembro",17,2003-01-01
2004,"Distrito Federal","Setembro",100,2004-01-01
2005,"Distrito Federal","Setembro",23,2005-01-01
2006,"Distrito Federal","Setembro",20,2006-01-01
2007,"Distrito Federal","Setembro",73,2007-01-01
2008,"Distrito Federal","Setembro",54,2008-01-01
2009,"Distrito Federal","Setembro",5,2009-01-01
2010,"Distrito Federal","Setembro",196,2010-01-01
2011,"Distrito Federal","Setembro",133,2011-01-01
2012,"Distrito Federal","Setembro",64,2012-01-01
2013,"Distrito Federal","Setembro",31,2013-01-01
2014,"Distrito Federal","Setembro",72,2014-01-01
2015,"Distrito Federal","Setembro",76,2015-01-01
2016,"Distrito Federal","Setembro",58,2016-01-01
2017,"Distrito Federal","Setembro",122,2017-01-01
1998,"Distrito Federal","Outubro",3,1998-01-01
1999,"Distrito Federal","Outubro",8,1999-01-01
2000,"Distrito Federal","Outubro",18,2000-01-01
2001,"Distrito Federal","Outubro",0,2001-01-01
2002,"Distrito Federal","Outubro",19,2002-01-01
2003,"Distrito Federal","Outubro",12,2003-01-01
2004,"Distrito Federal","Outubro",18,2004-01-01
2005,"Distrito Federal","Outubro",18,2005-01-01
2006,"Distrito Federal","Outubro",1,2006-01-01
2007,"Distrito Federal","Outubro",13,2007-01-01
2008,"Distrito Federal","Outubro",6,2008-01-01
2009,"Distrito Federal","Outubro",3,2009-01-01
2010,"Distrito Federal","Outubro",6,2010-01-01
2011,"Distrito Federal","Outubro",0,2011-01-01
2012,"Distrito Federal","Outubro",15,2012-01-01
2013,"Distrito Federal","Outubro",3,2013-01-01
2014,"Distrito Federal","Outubro",34,2014-01-01
2015,"Distrito Federal","Outubro",21,2015-01-01
2016,"Distrito Federal","Outubro",9,2016-01-01
2017,"Distrito Federal","Outubro",66,2017-01-01
1998,"Distrito Federal","Novembro",0,1998-01-01
1999,"Distrito Federal","Novembro",1,1999-01-01
2000,"Distrito Federal","Novembro",0,2000-01-01
2001,"Distrito Federal","Novembro",0,2001-01-01
2002,"Distrito Federal","Novembro",1,2002-01-01
2003,"Distrito Federal","Novembro",0,2003-01-01
2004,"Distrito Federal","Novembro",0,2004-01-01
2005,"Distrito Federal","Novembro",2,2005-01-01
2006,"Distrito Federal","Novembro",0,2006-01-01
2007,"Distrito Federal","Novembro",0,2007-01-01
2008,"Distrito Federal","Novembro",4,2008-01-01
2009,"Distrito Federal","Novembro",0,2009-01-01
2010,"Distrito Federal","Novembro",0,2010-01-01
2011,"Distrito Federal","Novembro",1,2011-01-01
2012,"Distrito Federal","Novembro",0,2012-01-01
2013,"Distrito Federal","Novembro",0,2013-01-01
2014,"Distrito Federal","Novembro",0,2014-01-01
2015,"Distrito Federal","Novembro",3,2015-01-01
2016,"Distrito Federal","Novembro",1,2016-01-01
2017,"Distrito Federal","Novembro",0,2017-01-01
1998,"Distrito Federal","Dezembro",0,1998-01-01
1999,"Distrito Federal","Dezembro",0,1999-01-01
2000,"Distrito Federal","Dezembro",0,2000-01-01
2001,"Distrito Federal","Dezembro",1,2001-01-01
2002,"Distrito Federal","Dezembro",1,2002-01-01
2003,"Distrito Federal","Dezembro",0,2003-01-01
2004,"Distrito Federal","Dezembro",0,2004-01-01
2005,"Distrito Federal","Dezembro",0,2005-01-01
2006,"Distrito Federal","Dezembro",0,2006-01-01
2007,"Distrito Federal","Dezembro",0,2007-01-01
2008,"Distrito Federal","Dezembro",0,2008-01-01
2009,"Distrito Federal","Dezembro",0,2009-01-01
2010,"Distrito Federal","Dezembro",1,2010-01-01
2011,"Distrito Federal","Dezembro",0,2011-01-01
2012,"Distrito Federal","Dezembro",0,2012-01-01
2013,"Distrito Federal","Dezembro",2,2013-01-01
2014,"Distrito Federal","Dezembro",0,2014-01-01
2015,"Distrito Federal","Dezembro",0,2015-01-01
2016,"Distrito Federal","Dezembro",0,2016-01-01
1998,"Espirito Santo","Janeiro",0,1998-01-01
1999,"Espirito Santo","Janeiro",33,1999-01-01
2000,"Espirito Santo","Janeiro",5,2000-01-01
2001,"Espirito Santo","Janeiro",1,2001-01-01
2002,"Espirito Santo","Janeiro",2,2002-01-01
2003,"Espirito Santo","Janeiro",4,2003-01-01
2004,"Espirito Santo","Janeiro",1,2004-01-01
2005,"Espirito Santo","Janeiro",4,2005-01-01
2006,"Espirito Santo","Janeiro",13,2006-01-01
2007,"Espirito Santo","Janeiro",0,2007-01-01
2008,"Espirito Santo","Janeiro",12,2008-01-01
2009,"Espirito Santo","Janeiro",4,2009-01-01
2010,"Espirito Santo","Janeiro",52,2010-01-01
2011,"Espirito Santo","Janeiro",3,2011-01-01
2012,"Espirito Santo","Janeiro",1,2012-01-01
2013,"Espirito Santo","Janeiro",10,2013-01-01
2014,"Espirito Santo","Janeiro",11,2014-01-01
2015,"Espirito Santo","Janeiro",76,2015-01-01
2016,"Espirito Santo","Janeiro",43,2016-01-01
2017,"Espirito Santo","Janeiro",13,2017-01-01
1998,"Espirito Santo","Fevereiro",0,1998-01-01
1999,"Espirito Santo","Fevereiro",10,1999-01-01
2000,"Espirito Santo","Fevereiro",5,2000-01-01
2001,"Espirito Santo","Fevereiro",5,2001-01-01
2002,"Espirito Santo","Fevereiro",4,2002-01-01
2003,"Espirito Santo","Fevereiro",11,2003-01-01
2004,"Espirito Santo","Fevereiro",5,2004-01-01
2005,"Espirito Santo","Fevereiro",1,2005-01-01
2006,"Espirito Santo","Fevereiro",45,2006-01-01
2007,"Espirito Santo","Fevereiro",3,2007-01-01
2008,"Espirito Santo","Fevereiro",20,2008-01-01
2009,"Espirito Santo","Fevereiro",12,2009-01-01
2010,"Espirito Santo","Fevereiro",15,2010-01-01
2011,"Espirito Santo","Fevereiro",42,2011-01-01
2012,"Espirito Santo","Fevereiro",25,2012-01-01
2013,"Espirito Santo","Fevereiro",15,2013-01-01
2014,"Espirito Santo","Fevereiro",17,2014-01-01
2015,"Espirito Santo","Fevereiro",60,2015-01-01
2016,"Espirito Santo","Fevereiro",24,2016-01-01
2017,"Espirito Santo","Fevereiro",8,2017-01-01
1998,"Espirito Santo","Mar�o",0,1998-01-01
1999,"Espirito Santo","Mar�o",8,1999-01-01
2000,"Espirito Santo","Mar�o",1,2000-01-01
2001,"Espirito Santo","Mar�o",2,2001-01-01
2002,"Espirito Santo","Mar�o",4,2002-01-01
2003,"Espirito Santo","Mar�o",28,2003-01-01
2004,"Espirito Santo","Mar�o",3,2004-01-01
2005,"Espirito Santo","Mar�o",3,2005-01-01
2006,"Espirito Santo","Mar�o",14,2006-01-01
2007,"Espirito Santo","Mar�o",9,2007-01-01
2008,"Espirito Santo","Mar�o",5,2008-01-01
2009,"Espirito Santo","Mar�o",11,2009-01-01
2010,"Espirito Santo","Mar�o",3,2010-01-01
2011,"Espirito Santo","Mar�o",5,2011-01-01
2012,"Espirito Santo","Mar�o",35,2012-01-01
2013,"Espirito Santo","Mar�o",13,2013-01-01
2014,"Espirito Santo","Mar�o",15,2014-01-01
2015,"Espirito Santo","Mar�o",25,2015-01-01
2016,"Espirito Santo","Mar�o",107,2016-01-01
2017,"Espirito Santo","Mar�o",9,2017-01-01
1998,"Espirito Santo","Abril",0,1998-01-01
1999,"Espirito Santo","Abril",2,1999-01-01
2000,"Espirito Santo","Abril",3,2000-01-01
2001,"Espirito Santo","Abril",2,2001-01-01
2002,"Espirito Santo","Abril",2,2002-01-01
2003,"Espirito Santo","Abril",22,2003-01-01
2004,"Espirito Santo","Abril",0,2004-01-01
2005,"Espirito Santo","Abril",4,2005-01-01
2006,"Espirito Santo","Abril",1,2006-01-01
2007,"Espirito Santo","Abril",2,2007-01-01
2008,"Espirito Santo","Abril",8,2008-01-01
2009,"Espirito Santo","Abril",8,2009-01-01
2010,"Espirito Santo","Abril",7,2010-01-01
2011,"Espirito Santo","Abril",3,2011-01-01
2012,"Espirito Santo","Abril",74,2012-01-01
2013,"Espirito Santo","Abril",16,2013-01-01
